Rank,MSA,Total Score ,Educational Attainment Rank ,Quality of Education and Attainment Gap Rank 
61,"Spokane-Spokane Valley, WA",57.28,68,48
62,"Anchorage, AK",57.15,62,83
63,"Albuquerque, NM",57.09,53,129
64,"Dayton-Kettering, OH",56.86,71,52
65,"Indianapolis-Carmel-Anderson, IN",56.67,64,90
66,"Palm Bay-Melbourne-Titusville, FL",56.58,60,112
67,"Fayetteville-Springdale-Rogers, AR",56.29,88,3
68,"Syracuse, NY",56.16,63,108
69,"Grand Rapids-Kentwood, MI",56.05,69,78
70,"Santa Maria-Santa Barbara, CA",55.89,89,2
71,"Dallas-Fort Worth-Arlington, TX",55.89,70,65
72,"Jacksonville, FL",55.84,72,62
73,"Miami-Fort Lauderdale-Pompano Beach, FL",55.5,86,5
74,"Savannah, GA",55.35,66,94
75,"Tampa-St. Petersburg-Clearwater, FL",54.33,80,46
76,"Detroit-Warren-Dearborn, MI",54.3,67,128
77,"Akron, OH",53.94,74,98
78,"Little Rock-North Little Rock-Conway, AR",53.85,78,61
79,"Birmingham-Hoover, AL",53.55,82,40
80,"Ogden-Clearfield, UT",53.52,61,148
81,"Harrisburg-Carlisle, PA",53.17,77,104
82,"Phoenix-Mesa-Chandler, AZ",53.11,75,116
83,"Oxnard-Thousand Oaks-Ventura, CA",52.95,81,57
84,"Greenville-Anderson, SC",52.86,87,33
85,"Houston-The Woodlands-Sugar Land, TX",52.78,99,18
86,"Los Angeles-Long Beach-Anaheim, CA",52.56,102,14
87,"Cleveland-Elyria, OH",52.56,76,130
88,"Oklahoma City, OK",52.47,85,54
89,"Peoria, IL",52.38,79,96
90,"Knoxville, TN",51.65,90,38
91,"Springfield, MO",51.48,96,37
92,"Reno, NV",51.37,91,47
93,"Louisville/Jefferson County, KY-IN",50.93,83,100
94,"Allentown-Bethlehem-Easton, PA-NJ",50.85,92,55
95,"Providence-Warwick, RI-MA",50.78,84,99
96,"Fayetteville, NC",50.75,108,7
97,"New Orleans-Metairie, LA",49.85,93,75
98,"Pensacola-Ferry Pass-Brent, FL",49.76,98,70
99,"Toledo, OH",49.72,97,73
100,"San Antonio-New Braunfels, TX",49.65,105,32
101,"Greensboro-High Point, NC",49.21,106,42
102,"Chattanooga, TN-GA",48.9,101,80
103,"Montgomery, AL",48.57,107,51
104,"Wichita, KS",48.47,94,109
105,"Jackson, MS",48.31,95,122
106,"Davenport-Moline-Rock Island, IA-IL",47.87,100,132
107,"Cape Coral-Fort Myers, FL",47.54,103,106
108,"Winston-Salem, NC",47.21,113,39
109,"Memphis, TN-MS-AR",46.83,104,111
110,"Deltona-Daytona Beach-Ormond Beach, FL",46.74,110,56
111,"Tulsa, OK",45.42,109,97
112,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",45.39,118,30
113,"Fort Wayne, IN",44.62,114,101
114,"Baton Rouge, LA",44.32,116,74
115,"Augusta-Richmond County, GA-SC",44,111,126
116,"Port St. Lucie, FL",42.79,112,141
117,"Killeen-Temple, TX",42.37,117,107
118,"Las Vegas-Henderson-Paradise, NV",41.84,126,28
119,"York-Hanover, PA",41.75,123,60
120,"Springfield, MA",41.22,119,120
121,"Lancaster, PA",40.85,122,89
122,"Vallejo, CA",40.84,115,143
123,"Canton-Massillon, OH",40.72,127,45
124,"Salem, OR",40.21,120,119
125,"Shreveport-Bossier City, LA",40.19,125,72
126,"Scranton--Wilkes-Barre, PA",39.58,121,136
127,"Mobile, AL",38.9,132,44
128,"Salisbury, MD-DE",38.5,128,102
129,"Flint, MI",37.87,129,115
130,"Gulfport-Biloxi, MS",37.02,124,146
131,"Rockford, IL",35.92,130,125
132,"El Paso, TX",35.12,140,9
133,"Youngstown-Warren-Boardman, OH-PA",35.03,135,84
134,"Lafayette, LA",33.34,136,105
135,"Huntington-Ashland, WV-KY-OH",33.3,133,144
136,"Reading, PA",33.26,131,149
137,"Lakeland-Winter Haven, FL",32.89,137,64
138,"Riverside-San Bernardino-Ontario, CA",32.72,139,69
139,"Ocala, FL",30.92,134,150
140,"Corpus Christi, TX",30.02,138,137
141,"Beaumont-Port Arthur, TX",27.39,143,85
142,"Hickory-Lenoir-Morganton, NC",26.89,141,139
143,"Salinas, CA",26.32,142,140
144,"Stockton, CA",25.33,145,87
145,"Fresno, CA",23.9,144,135
146,"Modesto, CA",17.78,146,145
147,"Bakersfield, CA",16.91,147,123
148,"McAllen-Edinburg-Mission, TX",14.1,150,15
149,"Brownsville-Harlingen, TX",13.09,148,88
150,"Visalia, CA",9.12,149,147
